t,x,y
0.000000000000000000e+00,3.035257356024795516e+00,4.781635091554790939e+00
2.020202020202020166e-01,2.189745889987497751e+00,6.114004609747001773e+00
4.040404040404040331e-01,1.478906772247328805e+00,6.238360950392083382e+00
6.060606060606060774e-01,9.898360359113058671e-01,5.520524047522548550e+00
8.080808080808080662e-01,9.578274053024604662e-01,4.582545745725710162e+00
1.010101010101010166e+00,8.089763991228180462e-01,3.695493382033302243e+00
1.212121212121212155e+00,5.550991042434176848e-01,2.732410632083046131e+00
1.414141414141414144e+00,4.825977407110011996e-01,1.930078594121340307e+00
1.616161616161616132e+00,5.455741598230090528e-01,1.611293637016827374e+00
1.818181818181818121e+00,7.378780990532179951e-01,1.252805092520339114e+00
2.020202020202020332e+00,6.191213525633819659e-01,9.964764557047142146e-01
2.222222222222222321e+00,7.138142057748552149e-01,8.361663546319241247e-01
2.424242424242424310e+00,8.091392524315557111e-01,5.579646434880632944e-01
2.626262626262626299e+00,9.070967398144151872e-01,4.257473489370212638e-01
2.828282828282828287e+00,1.200197976079996787e+00,2.928454409402049263e-01
3.030303030303030276e+00,1.155514251474627940e+00,4.299857762546776541e-01
3.232323232323232265e+00,1.462007104126543222e+00,2.904742892761097428e-01
3.434343434343434254e+00,1.779031697586629157e+00,2.362310847786161516e-01
3.636363636363636243e+00,1.908846550574359924e+00,4.473746131005653659e-01
3.838383838383838231e+00,2.180366622370467855e+00,3.458478881616874334e-01
4.040404040404040664e+00,2.454513343892591237e+00,2.668305213925379338e-01
4.242424242424242209e+00,2.876457340982871536e+00,5.284177078407570338e-01
4.444444444444444642e+00,3.342937355893965901e+00,6.580702451585899171e-01
4.646464646464646187e+00,3.641589929446233054e+00,9.946876186425042121e-01
4.848484848484848619e+00,3.948738296543616411e+00,1.568561110673406978e+00
5.050505050505050164e+00,3.835695140515483992e+00,2.556281615679580455e+00
5.252525252525252597e+00,3.424402953069319633e+00,4.052722651313895419e+00
5.454545454545454142e+00,2.972341039935433749e+00,5.398272163468170959e+00
5.656565656565656575e+00,1.979923606893423615e+00,6.134304310951400829e+00
5.858585858585858119e+00,1.302653420214157753e+00,6.175596721470509642e+00
6.060606060606060552e+00,8.702643029878847081e-01,5.043371451891077051e+00
6.262626262626262097e+00,6.537897346488468209e-01,4.403353248810105924e+00
6.464646464646464530e+00,6.727552269612343538e-01,3.267953778004983434e+00
6.666666666666666963e+00,5.779483722856384453e-01,2.669184713888451466e+00
6.868686868686868507e+00,6.172121559117248468e-01,1.951640644571330574e+00
7.070707070707070940e+00,6.451438455404447936e-01,1.479726383841856840e+00
7.272727272727272485e+00,6.908368561833934107e-01,1.217625425498424452e+00
7.474747474747474918e+00,5.994610754142890574e-01,9.261061814846403006e-01
7.676767676767676463e+00,7.922215260937229830e-01,7.631745705625658793e-01
7.878787878787878896e+00,7.807776159215804590e-01,6.833655719094768877e-01
8.080808080808081328e+00,9.344108506000607939e-01,4.893052393786220811e-01
8.282828282828281985e+00,1.007008555238680936e+00,5.029246431796158268e-01
8.484848484848484418e+00,1.219626248487396092e+00,1.763195123201473924e-01
8.686868686868686851e+00,1.294287584285129578e+00,2.119315474549089973e-01
8.888888888888889284e+00,1.706663123496923395e+00,1.939124709030983218e-01
9.090909090909089940e+00,1.924315468492164394e+00,3.139299377740836228e-01
9.292929292929292373e+00,2.441838755888084300e+00,3.161243678311746463e-01
9.494949494949494806e+00,2.614080815616014686e+00,2.876866018181398199e-01
9.696969696969697239e+00,3.058517491362511720e+00,4.341379825583079333e-01
9.898989898989899672e+00,3.490166896299204069e+00,7.853261867836777155e-01
1.010101010101010033e+01,3.900394005619018944e+00,1.232397637818373859e+00
1.030303030303030276e+01,3.881330558419034737e+00,1.912504919801396808e+00
1.050505050505050519e+01,3.876264927626235313e+00,2.909771471781777308e+00
1.070707070707070763e+01,3.167694155925264266e+00,4.482944537684942610e+00
1.090909090909090828e+01,2.471205559640324179e+00,5.650272530622299172e+00
1.111111111111111072e+01,1.687697709774934385e+00,6.373227411713395796e+00
1.131313131313131315e+01,1.160426051543149706e+00,5.735522793498761374e+00
1.151515151515151558e+01,8.069005583259296621e-01,4.776539979587139051e+00
1.171717171717171624e+01,8.857040545839125478e-01,4.005977893750318763e+00
1.191919191919191867e+01,4.475171425373437595e-01,3.134539675314907292e+00
1.212121212121212110e+01,7.982128976519423658e-01,2.252613065032115891e+00
1.232323232323232354e+01,5.398599276301246919e-01,1.782224512880984824e+00
1.252525252525252419e+01,6.849528749717962439e-01,1.331459555851181031e+00
1.272727272727272663e+01,6.335690639466958762e-01,1.078970122097267170e+00
1.292929292929292906e+01,9.096370199155708880e-01,7.992431723806422417e-01
1.313131313131313149e+01,6.937371230393729604e-01,8.210587217183351605e-01
1.333333333333333393e+01,9.473426353535452371e-01,6.873072703946415674e-01
1.353535353535353458e+01,1.083337414851591296e+00,5.739770350131024879e-01
1.373737373737373701e+01,1.048957064763354374e+00,3.828794182564853599e-01
1.393939393939393945e+01,1.316743534489749790e+00,4.223164685961759979e-01
1.414141414141414188e+01,1.612258577472588161e+00,1.777146597103253511e-01
1.434343434343434254e+01,1.942416300394481654e+00,1.952632430234522709e-01
1.454545454545454497e+01,2.016945123344644486e+00,3.252747608214305308e-01
1.474747474747474740e+01,2.406348271527544824e+00,3.499552125027156624e-01
1.494949494949494984e+01,2.797038109241739345e+00,2.891404252079166626e-01
1.515151515151515049e+01,3.211406283519544935e+00,6.730927179498552571e-01
1.535353535353535293e+01,3.505689777901206394e+00,6.865927339694669618e-01
1.555555555555555536e+01,3.833788809103308992e+00,1.230551819021105997e+00
1.575757575757575779e+01,3.903961183885883202e+00,2.207688193219393913e+00
1.595959595959595845e+01,3.632600614321916943e+00,3.451485607811311862e+00
1.616161616161616266e+01,3.086378320269572484e+00,4.923025523823242544e+00
1.636363636363636331e+01,2.031805578787164723e+00,6.229920389252995072e+00
1.656565656565656397e+01,1.525942958617535261e+00,6.099111598314006066e+00
1.676767676767676818e+01,9.310016124633340162e-01,5.573238719985310397e+00
1.696969696969696884e+01,7.710199365242911274e-01,4.560839247279442787e+00
1.717171717171717304e+01,7.966699236586025634e-01,3.624608232975645272e+00
1.737373737373737370e+01,5.544061632475167922e-01,2.576617954603177107e+00
1.757575757575757436e+01,4.961538126099138690e-01,2.123035402946112260e+00
1.777777777777777857e+01,4.972086533638383488e-01,1.543527895247905235e+00
1.797979797979797922e+01,5.767788482073203937e-01,1.247644637655301869e+00
1.818181818181817988e+01,5.926823801974959727e-01,1.046133860524568249e+00
1.838383838383838409e+01,7.705631410110095336e-01,7.125757661946013899e-01
1.858585858585858475e+01,6.376703493650445198e-01,5.698945588088039083e-01
1.878787878787878896e+01,9.048620995969570702e-01,6.503932238210327066e-01
1.898989898989898961e+01,9.583843598282485443e-01,4.711347128452854083e-01
1.919191919191919027e+01,1.241889570690335676e+00,3.103458536289173120e-01
1.939393939393939448e+01,1.437256750080510681e+00,3.245950883876057014e-01
1.959595959595959513e+01,1.562810308295058848e+00,2.580831110467293188e-01
1.979797979797979934e+01,1.834170753477762483e+00,2.836798475473369940e-01
2.000000000000000000e+01,2.147065461026143041e+00,1.359558709497729334e-01
